language,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
south africa,11.660468705416006,-19.723827552650608,14.133343293246355,4.070539554697109,7.55330568432025,2.434135460820446,-0.4664850160851,-5.540240064232644,-10.015808485130085,-6.323431051060925,-11.452999204395198,-1.7889629336261892
south africa,11.685900475376123,-10.317492458962507,9.680435761337952,6.7572083696289384,9.578035705695461,2.181756893005355,-12.498293494590596,1.1952067060015263,-9.936549690701153,-8.536939488691628,-9.45331660554852,4.61029248236944
south africa,15.847062876384717,-27.645999717618874,-26.09079846911789,27.375854502528064,6.453205259373766,-22.793343495881846,-23.342959863695977,1.8601978873632161,1.4053099476471909,20.23598371449001,-10.619802325909838,-13.720203833542708
south africa,14.404714755639178,-18.396900720937893,15.892462030162317,6.8015146938172695,-5.865788626250387,16.096621689997,-20.895572706711274,8.520376401636698,-38.985816587228484,-6.206113121969784,-13.598890168687849,0.27645979574232316
south africa,9.939046778495323,-7.332691869782697,-4.952244469381739,-24.75111569732976,-13.237667710484427,-2.1936857069556766,3.023502536863413,0.7956609121363346,-1.4047747125757002,8.558357798370494,16.240762517258087,17.222584778030864
ivory coast,11.373882145434264,-29.742979974360864,12.647244717955617,3.751532003732458,11.542966142005852,6.805227868788021,10.939112611733886,1.4294604129513127,-10.077525983002861,-6.430291449312954,-8.412828865222908,-7.10222178060918
ghana,14.307132219869999,22.04744150044706,-29.79545410426522,15.430162018333663,13.902497632338374,-42.4997198451108,20.76593070388558,-27.24060336084826,0.8018929007696642,10.377617987451298,-19.566192236335837,1.7796650785089836
kosovo,8.54088724845128,-61.82771299474607,3.553701105836725,-16.277352224676235,8.57436685000978,0.2980926391264901,15.776668540875681,-6.27732783828216,10.510913779493306,-0.7019415430915555,5.398805018189389,3.6072368400162413
albania,8.263385333309879,-53.27506225330402,13.77552579645351,-6.937702695622922,7.806726415405579,-13.393332413859504,3.958678874553611,-12.610934413449757,7.22414635392675,-1.6015210284175467,0.3260091939962513,-7.076695137763683
albania,8.238494640198544,-51.912214511887846,10.824466143476277,-12.266414209696286,9.672876649967383,-8.902360247734647,8.74637948818504,-12.568214540783865,0.9848791617683045,-7.848262713026242,1.6372415271265255,4.277474175462394
kosovo,10.192643118774647,2.214710145733389,-12.015450899965172,-3.63138259963678,11.283965754191712,-33.30728706484322,12.255360817779074,-21.63283637172241,-15.470842518774226,8.6768979093454,3.047423412723408,-8.31736997662994
albania,8.282187235728953,-35.48420438509282,17.864426481687595,-13.98228524865045,4.30250027569787,-6.980617496676935,11.094596233273725,-12.820416967537072,1.7317861756637756,-2.316091927053708,0.8195903793017055,-3.104172437042227
kosovo,12.732364140884084,12.809429786800733,4.250803753940404,-10.713292826469715,-5.352167599673707,1.4721257626046411,-1.438754114335114,-16.528995269112215,-36.78962314776084,-17.65937846666269,-4.19718781864723,0.7342756278760716
kosovo,9.795904086878332,-4.6077134755629015,-17.824018429180747,-3.9592495294142025,14.596382234111637,-35.28152292551992,19.652357832753545,-22.906674639092852,-4.937551715674466,6.004046545565323,-12.38959363172938,-5.229429366331473
kosovo,9.925092392589159,-6.862577685648459,-14.462049374423895,-2.8379552097371685,25.434314317813392,-28.12548325105524,36.25735545539166,-9.373572542325892,5.593882407257277,13.922009848509413,0.16636013977840713,6.646673332494105
albania,9.691060825220575,3.732861672049352,-13.30545879785049,-3.9119750814977743,17.469002568351673,-38.50780063745785,28.45472317943302,-18.15054686610941,-6.667892066814144,3.895380424698089,-7.537759536459589,7.5896112893926135
morocco,9.534832043924775,-2.9244256553317487,-4.1726566571078,8.772326144906476,26.95291826292385,-14.75230023616438,25.476797294607007,-6.575135318485923,-5.3256967872535315,-0.4836186761372404,-5.80975735427771,-1.4604291612054814
morocco,8.7906794812704,-59.639531602213545,10.881980273585336,-21.358270349726386,3.9544640574074412,-17.640850676010892,9.61217455723253,-17.350583323199135,12.257738619837165,-5.541469323702946,-3.2282961980300198,6.9370232983474285
ethiopia,12.669527907811103,-18.86491350269995,14.497897578063986,9.518090733024446,-4.646841513978493,2.7453053511961345,0.6942868031264026,-1.0024303643097527,-20.35667681585259,-1.519827550429179,-10.955271318294932,-1.6845182302038855
ethiopia,8.378102684796383,-57.82414217325009,6.034735660154027,-12.794904851375616,4.287039700584592,-12.732528985821068,9.17099533322337,-9.119713803786249,13.835606116377873,1.9361075222836366,8.557593288484641,-3.112592862303867
ethiopia,8.300219762027329,-47.29412805318203,17.874873998886777,-9.85380283775443,8.63140369906088,-7.287735675556303,10.365266568176116,-3.950402745388195,9.796346646428947,-5.165479582547805,5.874937966916767,-0.6320461237219344
ethiopia,8.232926280292064,-52.89831527370873,13.70023118068992,-8.130800079321801,10.160207201611325,-9.195917472486364,17.318586076212124,-2.935491242932672,6.4026836829352485,-8.769941090094335,5.951864725693788,-0.9146137777915941
ethiopia,8.301831553121577,-36.90993453149564,17.918640696810147,-10.831714906620528,1.9228966612641702,-9.673502808140631,9.357741061191037,-9.746811255748431,3.4574679830285833,-4.364945428200342,2.0636194093564137,-4.371635807263286
